タイトル,メモ,URL,タグ,コメント
,,,,
指定した地点,48、表示あり。コーヒー、ジュースなど。コールドブリューは$6。一部商品のみ表示,"https://www.google.com/maps/search/40.7644,-73.9731185",,
指定した地点,51、表示なし。ジュース、アイス,"https://www.google.com/maps/search/40.7648035,-73.9733532",,
指定した地点,85、表示あり。ホットドッグ、アイス、ドリンク,"https://www.google.com/maps/search/40.7667045,-73.9721405",,
指定した地点,45、表示あり。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7649919,-73.9727591",,
指定した地点,84、表示なし。ソフトクリーム,"https://www.google.com/maps/search/40.7686219,-73.969988",,
指定した地点,83、表示なし。ホットドッグ、ドリンク,"https://www.google.com/maps/search/40.7897509,-73.9545841",,
指定した地点,82、表示なし。ホットドッグ、ドリンク,"https://www.google.com/maps/search/40.7888051,-73.9552751",,
指定した地点,81、表示なし。ソフトクリーム,"https://www.google.com/maps/search/40.7841999,-73.9586346",,
指定した地点,80、表示なし。チキンオーバーライス、ホットドッグ、ドリンク,"https://www.google.com/maps/search/40.7840111,-73.9587684",,
指定した地点,79、表示あり。マンハッタンバーガー、ホットドッグ、ドリンク,"https://www.google.com/maps/search/40.7811048,-73.9608548",,
,78、表示なし。フルーツ,"https://www.google.com/maps/search/40.7821043,-73.9625751",,
指定した地点,77、表示なし。ソフトクリーム,"https://www.google.com/maps/search/40.7855512,-73.9693071",,
指定した地点,76、表示なし。スムージー、コーヒー,"https://www.google.com/maps/search/40.785702,-73.9691891",,
指定した地点,75、表示なし。ホットドッグ、ハンバーガー、ドリンク,"https://www.google.com/maps/search/40.7895194,-73.9661146",,
指定した地点,74、表示なし。ソフトクリーム。71と同じ店に見える,"https://www.google.com/maps/search/40.8003399,-73.9578675",,
指定した地点,73、表示なし。スムージー、ジュース,"https://www.google.com/maps/search/40.7980508,-73.9521916",,
指定した地点,72、表示なし。ホットドッグ、ハンバーガー、ドリンク,"https://www.google.com/maps/search/40.7968355,-73.9497129",,
指定した地点,71、表示あり。ソフトクリーム,"https://www.google.com/maps/search/40.7965551,-73.9496123",,
指定した地点,70、表示なし。ソフトクリーム,"https://www.google.com/maps/search/40.7807108,-73.9611733",,
指定した地点,69、表示あり。マンハッタンバーガー、ホットドッグ,"https://www.google.com/maps/search/40.7791007,-73.9623699",,
指定した地点,68、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7783941,-73.96284",,
指定した地点,66、表示あり。クレープ、アイス。ともに$6,"https://www.google.com/maps/search/40.7772775,-73.9636922",,
指定した地点,67、表示あり。マンハッタンバーガー、ホットドッグ,"https://www.google.com/maps/search/40.7773671,-73.963588",,
,4、表示あり。ホットドッグなど軽食、アイス。②〜④は売り物、価格が同じ。若い男性が水購入,"https://www.google.com/maps/search/40.7844652,-73.9670088",,
指定した地点,6、表示なし。ホットドッグ、チキンテンダー、ドリンク,"https://www.google.com/maps/search/40.7822244,-73.971481",,
指定した地点,7、表示なし。ドリンク、スムージー。じいちゃんと子供が購入,"https://www.google.com/maps/search/40.7809499,-73.9723611",,
指定した地点,8、表示なし。クレープ、マカロン、コーヒー。購入者あり,"https://www.google.com/maps/search/40.7809225,-73.9723836",,
指定した地点,9、表示あり。ホットドッグ、オニオンリング、ドリンク。家族が購入,"https://www.google.com/maps/search/40.7808654,-73.9724302",,
指定した地点,3、表示あり。ホットドッグなど軽食、アイス、水。ベビーカーの女性がドリンク購入,"https://www.google.com/maps/search/40.7826321,-73.9665183",,
指定した地点,1、表示なし。ドリンク販売,"https://www.google.com/maps/search/40.7810474,-73.9608994",,
指定した地点,5、表示なし。チキンオーバーライス、ホットドッグ、ドリンク,"https://www.google.com/maps/search/40.7856152,-73.9692679",,
指定した地点,2、表示あり。ホットドッグなど軽食、アイス。水、近くのベンチに学生？,"https://www.google.com/maps/search/40.7813277,-73.963535",,
指定した地点,65、表示なし。スムージー、アイス。スムージー店はヒジャブ姿の女性店員のケースが多い,"https://www.google.com/maps/search/40.7772244,-73.9637532",,
指定した地点,64、表示なし。ホットドッグ、チキンオーバーライスなど,"https://www.google.com/maps/search/40.7768776,-73.9640832",,
指定した地点,63、表示なし。チキンオーバーライス、ホットドッグ、ドリンク,"https://www.google.com/maps/search/40.7751966,-73.9651986",,
指定した地点,62、表示あり。ホットドッグ、ドリンクなど,"https://www.google.com/maps/search/40.7726071,-73.9671536",,
指定した地点,61、表示あり。ホットドッグ、アイス、ドリンク。公園内の同じ店,"https://www.google.com/maps/search/40.7726728,-73.9677621",,
指定した地点,60、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7722681,-73.9673474",,
指定した地点,59、表示なし。ジュース,"https://www.google.com/maps/search/40.7722044,-73.9674188",,
指定した地点,58、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7707614,-73.9684283",,
指定した地点,57、表示なし。ホットドッグ、ドリンク,"https://www.google.com/maps/search/40.7691825,-73.9696628",,
指定した地点,56、表示なし。スムージー、ジュース,"https://www.google.com/maps/search/40.7675125,-73.9709134",,
指定した地点,55、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7673535,-73.9710096",,
指定した地点,54、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7654787,-73.9723242",,
指定した地点,53、表示なし。ジュース、アイス,"https://www.google.com/maps/search/40.7651661,-73.9725633",,
指定した地点,52、表示なし。チキンオーバーライス、ホットドッグ,"https://www.google.com/maps/search/40.7651314,-73.972572",,
指定した地点,50、表示なし。チキンオーバーライス、ハンバーガーなど,"https://www.google.com/maps/search/40.7647789,-73.9733921",,
指定した地点,49、表示あり。ホットドッグ、ハンバーガーなど,"https://www.google.com/maps/search/40.7647375,-73.9734266",,
指定した地点,47、表示なし。ソフトクリーム,"https://www.google.com/maps/search/40.7644566,-73.9730696",,
指定した地点,46、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7648078,-73.9728124",,
指定した地点,44、表示あり。ホットドッグ、ドリンク、アイス。パーク内の同じ店,"https://www.google.com/maps/search/40.7655816,-73.9731329",,
指定した地点,43、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7651115,-73.9733093",,
指定した地点,42、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7650151,-73.9734545",,
指定した地点,41、表示なし。ソフトクリーム、アイス,"https://www.google.com/maps/search/40.7649114,-73.9735346",,
指定した地点,40、表示あり。カフェ、コーヒー、菓子,"https://www.google.com/maps/search/40.7648607,-73.973544",,
指定した地点,39、表示なし。ドリンク、スムージー,"https://www.google.com/maps/search/40.7648061,-73.9735859",,
指定した地点,38、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7647487,-73.9737267",,
指定した地点,37、表示あり。ソフトクリーム,"https://www.google.com/maps/search/40.764769,-73.9738853",,
指定した地点,36、表示なし。ドリンク、スムージー,"https://www.google.com/maps/search/40.7650719,-73.9746259",,
指定した地点,35、表示なし。チキンオーバーライス、ハンバーガーなど,"https://www.google.com/maps/search/40.7651634,-73.9748422",,
指定した地点,33、表示なし。コーヒー、ドリンク、ドーナツ、クロワッサン。価格は白で空欄,"https://www.google.com/maps/search/40.7657047,-73.9760948",,
指定した地点,34、表示なし。チキンオーバーライス、ハンバーガーなど,"https://www.google.com/maps/search/40.7656806,-73.9760639",,
指定した地点,32、表示なし。ホットドッグなど,"https://www.google.com/maps/search/40.7657157,-73.9761149",,
指定した地点,31、表示なし。ソフトクリーム,"https://www.google.com/maps/search/40.76574,-73.97619",,
指定した地点,30、表示あり。マンハッタンバーガー、ホットドッグ,"https://www.google.com/maps/search/40.7658462,-73.976421",,
,29、表示なし。ドリンク、スムージー,"https://www.google.com/maps/search/40.7668868,-73.9788296",,
指定した地点,28、表示あり。ホットドッグ、チキンテンダーなど。価格は手書き、ホットドッグ$7,"https://www.google.com/maps/search/40.7669124,-73.9788765",,
指定した地点,27、表示なし。チキンオーバーライス、ホットドッグなど,"https://www.google.com/maps/search/40.7670348,-73.9792685",,
指定した地点,26、表示なし。ソフトクリーム,"https://www.google.com/maps/search/40.7671402,-73.9794988",,
指定した地点,25、表示なし。ソフトクリーム。水だけ1→$3、2→$5,"https://www.google.com/maps/search/40.7679289,-73.9812225",,
